name,role,team,photo_id,photo_url,nationality,team_abbr,auction_price_cr,is_overseas,flag
MS Dhoni,Wicket-Keeper,Chennai Super Kings,57,https://www.iplt20.com/assets/images/PlayerImage/57.png,India,CSK,4.0,0,🇮🇳
Sanju Samson,Wicket-Keeper,Chennai Super Kings,190,https://www.iplt20.com/assets/images/PlayerImage/190.png,India,CSK,14.0,0,🇮🇳
Dewald Brevis,Batter,Chennai Super Kings,797,https://www.iplt20.com/assets/images/PlayerImage/797.png,India,CSK,0.0,0,🇮🇳
Kartik Sharma,Wicket-Keeper,Chennai Super Kings,4540,https://www.iplt20.com/assets/images/PlayerImage/4540.png,India,CSK,0.0,0,🇮🇳
Sarfaraz Khan,Batter,Chennai Super Kings,139,https://www.iplt20.com/assets/images/PlayerImage/139.png,India,CSK,0.0,0,🇮🇳
Urvil Patel,Wicket-Keeper,Chennai Super Kings,1486,https://www.iplt20.com/assets/images/PlayerImage/1486.png,India,CSK,0.0,0,🇮🇳
Prashant Veer,All-Rounder,Chennai Super Kings,4541,https://www.iplt20.com/assets/images/PlayerImage/4541.png,India,CSK,0.0,0,🇮🇳
Matthew William Short,All-Rounder,Chennai Super Kings,2032,https://www.iplt20.com/assets/images/PlayerImage/2032.png,India,CSK,0.0,0,🇮🇳
Aman Khan,All-Rounder,Chennai Super Kings,979,https://www.iplt20.com/assets/images/PlayerImage/979.png,India,CSK,0.0,0,🇮🇳
Zak Foulkes,All-Rounder,Chennai Super Kings,3493,https://www.iplt20.com/assets/images/PlayerImage/3493.png,India,CSK,0.0,0,🇮🇳
Macneil Noronha,All-Rounder,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Dian Forrester,All-Rounder,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Shivam Dube,All-Rounder,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Noor Ahmad,Bowler,Chennai Super Kings,,,Afghanistan,CSK,7.5,1,🇦🇫
Anshul Kamboj,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Mukesh Choudhary,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Shreyas Gopal,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Gurjapneet Singh,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Akeal Hosein,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Matt Henry,Bowler,Chennai Super Kings,,,New Zealand,CSK,0.0,1,🇳🇿
Rahul Chahar,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Spencer Johnson,Bowler,Chennai Super Kings,,,Australia,CSK,0.0,1,🇦🇺
Akash Madhwal,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
Kuldip Yadav,Bowler,Chennai Super Kings,,,India,CSK,0.0,0,🇮🇳
